# L=12, N=12, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=6)              S₁acc(ℓ=6)                 S₂(ℓ=6)              S₂acc(ℓ=6)                 EN(ℓ=6)              ENacc(ℓ=6)                 S₁(n=6)                 S₂(n=6)
   49.770236     -9.640413126784E-01      2.627693094480E-02      2.259788787859E-03      6.475769716202E-03      1.896397571457E-03      2.185932155147E-01      6.464573738003E-03      6.807519574659E+00      6.786368049319E+00
   53.366992     -8.991157185085E-01      2.324172439886E-02      1.963314180426E-03      5.630417570834E-03      1.648875027892E-03      2.043553777021E-01      5.621928446336E-03      6.810285933164E+00      6.791890726209E+00
   57.223677     -8.385568803185E-01      2.055183843243E-02      1.705946282210E-03      4.895630999509E-03      1.433718203338E-03      1.910189636802E-01      4.889195322511E-03      6.812690508669E+00      6.796692303455E+00
   61.359073     -7.820722037827E-01      1.816871157386E-02      1.482478915354E-03      4.256897083398E-03      1.246680734366E-03      1.785296565223E-01      4.252018866603E-03      6.814780778896E+00      6.800867128592E+00
   65.793322     -7.293884889480E-01      1.605799090571E-02      1.288409754818E-03      3.701620482461E-03      1.084076858318E-03      1.668361671096E-01      3.697923323650E-03      6.816597951378E+00      6.804497159314E+00
   70.548023     -6.802506853203E-01      1.418908517693E-02      1.119842767999E-03      3.218867007648E-03      9.427065550646E-04      1.558900758758E-01      3.216065321271E-03      6.818177801038E+00      6.807653601111E+00
   75.646333     -6.344207188922E-01      1.253476396524E-02      9.734047053813E-04      2.799142223387E-03      8.197908909352E-04      1.456456857193E-01      2.797019373660E-03      6.819551393618E+00      6.810398326048E+00
   81.113083     -5.916763885866E-01      1.107079825236E-02      8.461735048413E-04      2.434200117723E-03      7.129161245192E-04      1.360598841338E-01      2.432591803439E-03      6.820745711052E+00      6.812785102462E+00
   86.974900     -5.518103293021E-01      9.775638249415E-03      7.356168210917E-04      2.116877622399E-03      6.199853494637E-04      1.270920130917E-01      2.115659256182E-03      6.821784192477E+00      6.814860661182E+00
   93.260335     -5.146290385693E-01      8.630124728441E-03      6.395391789227E-04      1.840951388438E-03      5.391766294421E-04      1.187037455861E-01      1.840028512918E-03      6.822687202580E+00      6.816665620345E+00
  100.000000     -4.799519637409E-01      7.617230489322E-03      5.560364861510E-04      1.601013746764E-03      4.689067321508E-04      1.108589680207E-01      1.600314758945E-03      6.823472437260E+00      6.818235287811E+00

